id,type,question,answer,topic,explanation,optionA,optionB,optionC,optionD,optionE,alternateAnswers,difficulty
1,tf,True or False: Displacement indicates the total distance an object travels.,false,kinematics,"Displacement only indicates how far an object ends up from its initial position, regardless of the path taken.",,,,,,,2
2,tf,True or False: Average velocity is displacement divided by the time interval over which that displacement occurred.,true,kinematics,Average velocity is defined as the total displacement divided by the time interval.,,,,,,,1
3,tf,"True or False: On a position-time graph, a positive slope indicates the object is moving away from the detector.",true,kinematics,"A positive slope on a position-time graph means the position is increasing with time, indicating movement away from the reference point.",,,,,,,2
4,tf,"True or False: On a velocity-time graph, the slope represents the object's acceleration.",true,kinematics,"The slope of a velocity-time graph gives the rate of change of velocity, which is acceleration.",,,,,,,2
5,tf,"True or False: To determine how far an object travels, you find the area between the velocity-time graph and the horizontal axis.",true,kinematics,The area under a velocity-time graph represents displacement.,,,,,,,
6,tf,True or False: Angular displacement is measured in radians.,true,rotation,Angular displacement is typically measured in radians in physics.,,,,,,,
7,tf,True or False: The acceleration of an object in free fall is -10 m/s².,true,kinematics,"On Earth, the acceleration due to gravity is approximately 10 m/s² downward, often written as -10 m/s² when downward is negative.",,,,,,,
8,tf,"True or False: When an object speeds up, its acceleration is always in the direction of motion.",false,kinematics,"This is only true for linear motion. In general, acceleration can be at any angle relative to velocity, such as in circular motion where acceleration is perpendicular to motion.",,,,,,,
9,tf,True or False: The kinematic equation vf² = vo² + 2ax is only valid for constant acceleration.,true,kinematics,This kinematic equation assumes constant acceleration throughout the motion.,,,,,,,
10,tf,"True or False: For an object moving at steady speed v, its displacement is given by Δx = vt.",true,kinematics,"For constant velocity, displacement equals velocity multiplied by time.",,,,,,,
11,tf,"True or False: In projectile motion, horizontal acceleration is always zero.",true,kinematics,"In the absence of air resistance, there is no horizontal force in projectile motion, so horizontal acceleration is zero.",,,,,,,
12,tf,True or False: An object is in equilibrium only when it remains at rest.,false,forces,An object is in equilibrium when it's either at rest or moving with constant velocity (no acceleration).,,,,,,,
13,tf,"True or False: According to Newton's Second Law, force and acceleration are directly proportional.",true,forces,"Newton's Second Law states that F = ma, showing direct proportionality between force and acceleration.",,,,,,,
14,tf,"True or False: For all forces other than gravity, objects must be in contact to experience a force.",true,forces,"Contact forces require physical contact between objects. Gravity, and electromagnetic forces (not in AP Physics 1) are the exceptions that can act at a distance.",,,,,,,
